"Rotation","Crop_ID","Corn_weed_management","Crop","Parameter","Rank","Value","Value_rounded"
"4-year","S4","low","soybean","f_3",30,144.595664510225,"144.6"
"4-year","S4","low","soybean","f_4",29,89.6817421783145,"89.68"
"4-year","S4","low","soybean","f_5",27,41.3264314676781,"41.33"
"4-year","S4","low","soybean","f_6",26,18.3565151207617,"18.36"
"4-year","S4","low","soybean","t_11_f",14,0.0756056363419265,"0.08"
"4-year","S4","low","soybean","t_21_f",15,0.0771224231215468,"0.08"
"4-year","S4","low","soybean","t_12_f",18,0.16544135045481,"0.17"
"4-year","S4","low","soybean","t_22_f",19,0.168760405294022,"0.17"
"4-year","S4","low","soybean","o_11",25,1.57138159511993,"1.57"
"4-year","S4","low","soybean","o_22",16,0.114541641493307,"0.11"
"4-year","O4","conventional","oat","t_11_s",25,2.3845570146367,"2.38"
"4-year","O4","conventional","oat","t_21_s",26,2.45630277610133,"2.46"
"4-year","O4","conventional","oat","t_12_s",28,3.65343375900325,"3.65"
"4-year","O4","conventional","oat","t_22_s",29,3.7633570635799,"3.76"
"4-year","O4","conventional","oat","d",23,1.961556048479,"1.96"
"4-year","O4","conventional","oat","g_1",1,0,"0"
"4-year","O4","conventional","oat","g_2",1,0,"0"
"4-year","O4","conventional","oat","g_3",1,0,"0"
"4-year","O4","conventional","oat","g_4",1,0,"0"
"4-year","O4","conventional","oat","g_5",1,0,"0"
"4-year","O4","conventional","oat","g_6",1,0,"0"
"4-year","O4","conventional","oat","s_s1",13,0.346933800932789,"0.35"
"4-year","O4","conventional","oat","s_s2",18,1.06120422015026,"1.06"
"4-year","O4","conventional","oat","s_p1",1,0,"0"
"4-year","O4","conventional","oat","s_p2",1,0,"0"
"4-year","O4","conventional","oat","s_p3",1,0,"0"
"4-year","O4","conventional","oat","s_p4",1,0,"0"
"4-year","O4","conventional","oat","s_p5",1,0,"0"
"4-year","O4","conventional","oat","s_p6",1,0,"0"
"4-year","O4","conventional","oat","f_1",31,27.2126678056797,"27.21"
"4-year","O4","conventional","oat","f_2",30,8.29679053500138,"8.3"
"4-year","O4","conventional","oat","f_3",27,3.61887552230881,"3.62"
"4-year","O4","conventional","oat","f_4",22,1.831655697678,"1.83"
"4-year","O4","conventional","oat","f_5",21,1.83165569767763,"1.83"
"4-year","O4","conventional","oat","f_6",24,2.2989119724087,"2.3"
"4-year","O4","conventional","oat","t_11_f",15,0.658820207307034,"0.66"
"4-year","O4","conventional","oat","t_21_f",16,0.816821924657927,"0.82"
"4-year","O4","conventional","oat","t_12_f",19,1.16238701245659,"1.16"
"4-year","O4","conventional","oat","t_22_f",20,1.44115676201426,"1.44"
"4-year","O4","conventional","oat","o_11",14,0.492862705501811,"0.49"
"4-year","O4","conventional","oat","o_22",17,0.871953307985546,"0.87"
"4-year","O4","low","oat","t_11_s",24,1.41790184743945,"1.42"
"4-year","O4","low","oat","t_21_s",25,1.46056320848145,"1.46"
"4-year","O4","low","oat","t_12_s",27,2.17239950422306,"2.17"
"4-year","O4","low","oat","t_22_s",28,2.23776194080108,"2.24"
"4-year","O4","low","oat","d",21,1.16637762398739,"1.17"
"4-year","O4","low","oat","g_1",1,0,"0"
"4-year","O4","low","oat","g_2",1,0,"0"
"4-year","O4","low","oat","g_3",1,0,"0"
"4-year","O4","low","oat","g_4",1,0,"0"
"4-year","O4","low","oat","g_5",1,0,"0"
"4-year","O4","low","oat","g_6",1,0,"0"
"4-year","O4","low","oat","s_s1",13,0.206293275548599,"0.21"
"4-year","O4","low","oat","s_s2",18,0.63101172042676,"0.63"
"4-year","O4","low","oat","s_p1",1,0,"0"
"4-year","O4","low","oat","s_p2",1,0,"0"
"4-year","O4","low","oat","s_p3",1,0,"0"
"4-year","O4","low","oat","s_p4",1,0,"0"
"4-year","O4","low","oat","s_p5",1,0,"0"
"4-year","O4","low","oat","s_p6",1,0,"0"
"4-year","O4","low","oat","f_1",31,20.0667211433206,"20.07"
"4-year","O4","low","oat","f_2",30,6.11808379976864,"6.12"
"4-year","O4","low","oat","f_3",29,2.66857209580176,"2.67"
"4-year","O4","low","oat","f_4",23,1.35066963586008,"1.35"
"4-year","O4","low","oat","f_5",22,1.35066963585981,"1.35"
"4-year","O4","low","oat","f_6",26,1.69522612824231,"1.7"
"4-year","O4","low","oat","t_11_f",15,0.391746719972392,"0.39"
"4-year","O4","low","oat","t_21_f",16,0.485697472902731,"0.49"
"4-year","O4","low","oat","t_12_f",19,0.691176886224684,"0.69"
"4-year","O4","low","oat","t_22_f",20,0.856938552010763,"0.86"
"4-year","O4","low","oat","o_11",14,0.293065309982322,"0.29"
"4-year","O4","low","oat","o_22",17,0.518479616417145,"0.52"
"4-year","A4","conventional","alfalfa","t_11_s",23,1.139508766737,"1.14"
"4-year","A4","conventional","alfalfa","t_21_s",25,1.63464931928396,"1.63"
"4-year","A4","conventional","alfalfa","t_12_s",22,1.11870822227832,"1.12"
"4-year","A4","conventional","alfalfa","t_22_s",24,1.60481050028349,"1.6"
"4-year","A4","conventional","alfalfa","d",21,0.981528099054036,"0.98"
"4-year","A4","conventional","alfalfa","g_1",1,0,"0"
"4-year","A4","conventional","alfalfa","g_2",1,0,"0"
"4-year","A4","conventional","alfalfa","g_3",1,0,"0"
"4-year","A4","conventional","alfalfa","g_4",1,0,"0"
"4-year","A4","conventional","alfalfa","g_5",1,0,"0"
"4-year","A4","conventional","alfalfa","g_6",1,0,"0"
"4-year","A4","conventional","alfalfa","s_s1",14,0.0209834126609975,"0.02"
"4-year","A4","conventional","alfalfa","s_s2",18,0.267658943514255,"0.27"
"4-year","A4","conventional","alfalfa","s_p1",1,0,"0"
"4-year","A4","conventional","alfalfa","s_p2",1,0,"0"
"4-year","A4","conventional","alfalfa","s_p3",1,0,"0"
"4-year","A4","conventional","alfalfa","s_p4",1,0,"0"
"4-year","A4","conventional","alfalfa","s_p5",1,0,"0"
"4-year","A4","conventional","alfalfa","s_p6",1,0,"0"
"4-year","A4","conventional","alfalfa","f_1",30,12.3487254171737,"12.35"
"4-year","A4","conventional","alfalfa","f_2",31,58.421032569242,"58.42"
"4-year","A4","conventional","alfalfa","f_3",29,4.12539688343459,"4.13"
"4-year","A4","conventional","alfalfa","f_4",28,3.21799299242431,"3.22"
"4-year","A4","conventional","alfalfa","f_5",27,2.67055627372867,"2.67"
"4-year","A4","conventional","alfalfa","f_6",26,2.58337202934673,"2.58"
"4-year","A4","conventional","alfalfa","t_11_f",13,0.00670563393978258,"0.01"
"4-year","A4","conventional","alfalfa","t_21_f",17,0.12001742382278,"0.12"
"4-year","A4","conventional","alfalfa","t_12_f",15,0.0339212943834317,"0.03"
"4-year","A4","conventional","alfalfa","t_22_f",20,0.607123263988611,"0.61"
"4-year","A4","conventional","alfalfa","o_11",16,0.0375820477472904,"0.04"
"4-year","A4","conventional","alfalfa","o_22",19,0.347797304808296,"0.35"
"4-year","A4","low","alfalfa","t_11_s",25,0.677573056803599,"0.68"
"4-year","A4","low","alfalfa","t_21_s",28,0.971992816905449,"0.97"
"4-year","A4","low","alfalfa","t_12_s",24,0.665204667104934,"0.67"
"4-year","A4","low","alfalfa","t_22_s",27,0.954250101454953,"0.95"
"4-year","A4","low","alfalfa","d",21,0.583634820396394,"0.58"
"4-year","A4","low","alfalfa","g_1",1,0,"0"
"4-year","A4","low","alfalfa","g_2",1,0,"0"
"4-year","A4","low","alfalfa","g_3",1,0,"0"
"4-year","A4","low","alfalfa","g_4",1,0,"0"
"4-year","A4","low","alfalfa","g_5",1,0,"0"
"4-year","A4","low","alfalfa","g_6",1,0,"0"
"4-year","A4","low","alfalfa","s_s1",14,0.0124771265249641,"0.01"
"4-year","A4","low","alfalfa","s_s2",18,0.159154974346619,"0.16"
"4-year","A4","low","alfalfa","s_p1",1,0,"0"
"4-year","A4","low","alfalfa","s_p2",1,0,"0"
"4-year","A4","low","alfalfa","s_p3",1,0,"0"
"4-year","A4","low","alfalfa","s_p4",1,0,"0"
"4-year","A4","low","alfalfa","s_p5",1,0,"0"
"4-year","A4","low","alfalfa","s_p6",1,0,"0"
"4-year","A4","low","alfalfa","f_1",30,2.99944691644994,"3"
"4-year","A4","low","alfalfa","f_2",31,14.190192110996,"14.19"
"4-year","A4","low","alfalfa","f_3",29,1.00203936383113,"1"
"4-year","A4","low","alfalfa","f_4",26,0.781635256450113,"0.78"
"4-year","A4","low","alfalfa","f_5",23,0.648665470308497,"0.65"
"4-year","A4","low","alfalfa","f_6",22,0.627488830279662,"0.63"
"4-year","A4","low","alfalfa","t_11_f",13,0.00398729436667255,"0"
"4-year","A4","low","alfalfa","t_21_f",17,0.0713645871827353,"0.07"
"4-year","A4","low","alfalfa","t_12_f",15,0.0201702310653844,"0.02"
"4-year","A4","low","alfalfa","t_22_f",20,0.361006758215038,"0.36"
"4-year","A4","low","alfalfa","o_11",16,0.0223469829424731,"0.02"
"4-year","A4","low","alfalfa","o_22",19,0.206806730975681,"0.21"
